District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobil,Contact Person,Working Sector
Bara,बारा एकीकृत ग्रामीण विकास केन्द्र,Bara Integrated Rural Development Centre,,Kaliya -8,,,,,,,
Bara,असहाय यूवा परिचालन मञ्च,Helpless Youth Mobilization Forum,,Kolchi-1,,,,,,,
Bara,आमा समुह,Aama Samuha,,Dumarwana-6,,,,,,,
Bara,जनजागृती यूवा क्लव,Jana Jagrit Youth Club,,Kolti-1,,,,,,,
Bara,मानव अधिकार चेतना समाज,Human Rights Awareness Society,,Nijgadh-1,,,,,,,
Bara,ज्योती क्लब,Jyoti Club,,Motisar-1,,,,,,,
Bara,मानब अधिकार जागरण केन्द्र,Human Rights Awareness Centre,,Kolchi-1,,,,,,,
Bara,जनकल्याण समाज,Public Welfare Society,,Bachanpurwa-3,,,,,,,
Bara,समाज उत्थान मञ्च,Social Progress Forum,,Kolhawi-1,,,,,,,
Bara,उपकार क्लव,Upakar Club,,Simara-7,,,,,,,
Bara,जनकल्याण यूवा क्लब,Public Welfare Youth Club,,Ram Purwa-5,,,,,,,
Bara,लाल बकैया सिचाई आयोजना जल उपभोक्ता,Lal Bakaiya Sichai Aayojana Jal Upavokta,,Nijgadh-8,,,,,,,
Bara,नेपाल महिला विकास संस्था,Women Development Organization Nepal,,Nijgadh-8,,,,,,,
Bara,यूवा मिलन क्लब,Yuwa Milan Club,,Ratanpuri-7,,,,,,,
Bara,ग्रामीण उत्थान परिषद,Rural Progress Council,,simara,,,,,,,
Bara,नेपाल कल्याण समाज,Nepal Welfare Society,,,,,,,,,
Bara,ग्रामीण सेवा संस्था,Rural Service Organization,,,,,,,,,
Bara,सेतो गुराँस वाल विकास सेवा,Seto Gurans Children Development Service,,,,,,,,,
Bara,हरेक बारा,Harek Bara,,,,,,,,,
Bara,जन चेतना जागरण अभियान,Public Conciousness Awareness Campaign,,,,,,,,,
Bara,प्रगति युवा स्र्पोट क्लव,Progressive Youth Support Club,,,,,,,,,
Bara,शतिmमान यूवा क्लव,Shaktiman Youth Club,,,,,,,,,
Bara,भवानी क्लव,Bhawani Club,,,,,,,,,
Bara,समाज विकास केन्द्र,Social Development Centre,,,,,,,,,
Bara,एकवद्ध ग्रामीण स्वाबलम्बन विकास अभियान केन्द्र नेपाल,Unity Rural Self- Relient Development Campaign Centre Nepal,,,,,,,,,
Bara,समाज बिकास संस्था,Social Development Organization,,Nijgadh,,,,,,,
Bara,गांमिण क्षेत्र तथा कृषि वन बिकास केन्द्र,Rural Area and Agriculture Foresty Development Centre,,Parasaini-5,,,,,,,
Bara,नव प्रतिभा युवा क्लब,Nava Prativa Youth Club,,Buniyad,,,,,,,
Bara,जनता युवा क्लब,Public Youth Club,,Inarawama,,,,,,,
Bara,सुर्यदय युवा क्लब,Suryadaya Youth Club,,Bagadpur,,,,,,,
Bara,जन शक्ति युवा क्लब,Jana Shakti Youth Club,,Koliv,,,,,,,
Bara,जनहित युवा क्लव,Public Welfare Youth Club,,,,,,,,,
Bara,सक्रिय पाइलाहरु,Active Steps,,,,,,,,,
