District,Zone,Geographical Region,Development Region,NGO Name in Nepali,NGO Name in English,Acronym,Address,Telephone No.,Fax No.,Email,Website,Office Mobile No.,Contact Person,Working Sector
Bhojpur,Kosi,Hill,Eastern,श्रृजनशील ग्रामीण समाज सेवा समिति ,Creative Rural Society,,Taksar-2,,,,,,,
Bhojpur,Kosi,Hill,Eastern,गोल्मे परोपकार समूह,Golme Paropakar Samuha,,Baikunthe-1,,,,,,,
Bhojpur,Kosi,Hill,Eastern,मकालु सामुदायीक विकास समिति,Makalu Community Development Committee,,Ranibas-8,,,,,,,
Bhojpur,Kosi,Hill,Eastern,गैयादेवी सामुदायिक बिकास संस्था,Gaiya Devi Community Development Organization,,Bhulke-8,,,,,,,
Bhojpur,Kosi,Hill,Eastern,सगरमाथा विकास संस्था ,Sagarmatha Bikash Sanstha,,"Okhre, Bhojpur",,,,,9852049203,Balaram Rai,socio-economic empowerment
Bhojpur,Kosi,Hill,Eastern,महिला जागरण तथा विकास संस्था,Women Awarness and Development Organization,,Yangpang,,,,,,,
Bhojpur,Kosi,Hill,Eastern,सामुहिक अभियान,Community March,,Bhojpur-6,,,,,9852023886,Shyam Prakash Tamot,"Social mobilization, forest, income generation"
Bhojpur,Kosi,Hill,Eastern,जनचेतना अभियान नेपाल ,Public Awareness Campagin Nepal,,Keureni Pani-1,,,,,,,
Bhojpur,Kosi,Hill,Eastern,बाल तथा नारी जनजागृती केन्द्र,Children and Women Public Awareness Centre,,Okhe-6,,,,,,,
Bhojpur,Kosi,Hill,Eastern,हिहल्र्ड नेपाल ,Heehureld Nepal,,Bhojpur ,,,,,9842272436,Sharan Kumar Rai,governance
Bhojpur,Kosi,Hill,Eastern,सेतो गुराँस वाल तथा सामुदायिक विकास संस्था,Seto Guras Bal Tatha Samudayik Bikas Sanstha,,Bhojpur-5,,,,,9842095753,Sapraj Rai,"road network, income generation , "
Bhojpur,Kosi,Hill,Eastern,ग्रामीण विकासका लागि मितेरी नेपाल ,Miteri Nepal,,Bhojpur-5,,,miterinepal@yahoo.com,,9852023978,Surendra Udash,"awareness, empowerment, "
Bhojpur,Kosi,Hill,Eastern,हेकुवा खर्क समाज सेवा समिति,Hekuwa Kharka Society Service Committee,,Yangpang-2,,,,,,,
Bhojpur,Kosi,Hill,Eastern,बरबोट सामाजिक संस्था ,Barbot Socila Organization,,Bhojpur-6,,,,,,,
Bhojpur,Kosi,Hill,Eastern,विकास र सचेतनाका लागि सामाजिक संस्था ,Social Organization for Development and Awareness,,"Bhojpur-6, Pokheray",,,shyambjp@gmail.com,,9752005181,Nabin Pradhan,health
Bhojpur,Kosi,Hill,Eastern,सामाजिक सचेतना मञ्च ,Social Awareness Forum Bhojpur,,Bhojpur-5,,,,,,,
Bhojpur,Kosi,Hill,Eastern,सयपत्री समाज सेवा समिति ,Sayapatry Social worker committee,,Champe-5 ,,,,,,,
Bhojpur,Kosi,Hill,Eastern,हातेमालो विकास संस्था नेपाल ,Hatemalo Community Development Nepal,,Gupteswor-5,,,,,,,
Bhojpur,Kosi,Hill,Eastern,त्रिवेणी सामुदायिक विकास संस्था ,Triveni Community Development Organizarion,,Bhojpur-9,,,,,,Rajkumar Tamang ,
Bhojpur,Kosi,Hill,Eastern,सूर्यज्योति युवा क्लव,Surya joiti yuba club ,,Bhojpur-1,,,,,026-691207,Ramesh Kumar Magar,
Dhankuta,Kosi,Hill,Eastern,सल्भ नेपाल,Solve Nepal,,Dhankuta-6,,,sove_brt@wlink.com.np,,,Sohan lal shersth,
Dhankuta,Kosi,Hill,Eastern,मधुगंगा समाज सेवा संघ,Madhu Ganga Social Service Organizatin,,Bhirgaun-4,,,,,,Dielishor Darnar,
Dhankuta,Kosi,Hill,Eastern,रारा समाज सेवा संघ,Rara Social Service Organization,,RajaRani-6,,,,,,Tekratna chemjong,
Dhankuta,Kosi,Hill,Eastern,सामुदायिक स्वास्थ्य सेवा केन्द्र,Community Health Service Centre,,Danakuta Municipality-5,,,,,,Ramnhadur sherstha,
Dhankuta,Kosi,Hill,Eastern,मानव अधिकार सामाजिक सचेतन र बिकास केन्द्र (हुसाडेक नेपाल),Human Rights Social Awareness and Development Centre,,Danakuta -7,,,,,,,
Dhankuta,Kosi,Hill,Eastern,प्याट्रोन नेपाल,Pyatron Nepal,,Danakuta -5,,,,,,Chandra shrestha,
Dhankuta,Kosi,Hill,Eastern,सामाजिक परिवर्तन एवं अध्ययन केन्द्र नेपाल (स्र्कास नेपाल),Social Change and Studies Centre Nepal,,Danakuta -8,,,,,,,
Dhankuta,Kosi,Hill,Eastern,पर्डेप नेपाल,Pardep Nepal,,Danakuta -7,,,,,,,
Dhankuta,Kosi,Hill,Eastern,आकाश डाँडाबजार,Aakash Dandabazar,,Dandabazar-1,,,,,,,
Dhankuta,Kosi,Hill,Eastern,डेभलप नेपाल,Develop Nepal,,Danakuta -7,,,,,,Shree om Bhandari,
Dhankuta,Kosi,Hill,Eastern,अपाङ्ग सेवा संघ,Association of Disable Service,,Danakuta -7,,,,,,,
Dhankuta,Kosi,Hill,Eastern,स्थानिय विकास सेवा संघ –वल्ड्स),Local Development Service Organization,,Danakuta -7,,,,,,,
Dhankuta,Kosi,Hill,Eastern,सिर्जनशील चेलीबेटी समूह,Srijanshil Chelibeti Samuha,,Bodhe-5,,,,,,,
Dhankuta,Kosi,Hill,Eastern,अनुसन्धान तथा विकास नेपाल,Research and Development Nepal,,Danakuta -6,,,,,,,
Dhankuta,Kosi,Hill,Eastern,सेतो गुराँस बाल बिकास सेवा,Seto Gurans Child Development Service,,Danakuta -6,,,,,,Teka laxmi sherstha,
Dhankuta,Kosi,Hill,Eastern,आठपरिया किरात राई समाज,Aathapriya Kirat Rai Samaj,,Danakuta -5,,,,,,Shree gahendra bahadur rai,
Dhankuta,Kosi,Hill,Eastern,चौबिसे सामुदायिक सूचना केन्द्र,Chaubise Community Information Centre,,Maunabudhak-2,,,,,,Duraga Bhadur subedi,
Dhankuta,Kosi,Hill,Eastern,बेष्ट नेपाल ,Best Nepal,,Danakuta -3,,,,,,,
Dhankuta,Kosi,Hill,Eastern,सामुदायिक सचेतना र विकासको लागी महिला संचार समूह,Women Communication Group For Community Awarness and Development,,Schooldanda-4,,,,,,Anajana tamli,
Dhankuta,Kosi,Hill,Eastern,सामुदायिक विकासका लागि संचार,Communication for Community Development  Nepal,,Danakuta -7,,,,,,kulparshad rai,
Dhankuta,Kosi,Hill,Eastern,शैलुङ्ग सामुदायिक संचार,Sailung Community Information,,Danakuta -7,,,,,,,
Dhankuta,Kosi,Hill,Eastern,समाज कल्याण सेवा केन्द्र ,Social Welfare Service Centre,,Bhendetra-7,,,bsoservice7@yahoo.com,,,,
Dhankuta,Kosi,Hill,Eastern,डाइन्यामिक प्रतिष्ठान नेपाल,Dynamic Trust Nepal,,Danakuta -7,,,,,,,
Dhankuta,Kosi,Hill,Eastern,सामुदायिक विकास तथा परिवर्तन केन्द्र ,Agency For Community Development and Changing Centre Nepal,,Danakuta -7,,,khindra.acdc@gmail.com,,,,
