District,Zone,Geographical Region,Development Region,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Achham,Seti,Hill,Far-Western,नेपाल जन जागरण मंच,Nepal Public Awareness Forum,,Ghughurkot-2,29359,,,,,,
Achham,Seti,Hill,Far-Western,स्वच्छ वातावरण तथा मानव विकास मञ्च,Lucied Environment and Human Development Forum,,Chandika-3,097-629303,,,,,,
Achham,Seti,Hill,Far-Western,सामाजिक सशक्तिकरण तथा पहुँच विकास केन्द्र,Social Empowerment and Access Development Centre,SEBAC,Mathtamandu-1,097 625007,097 625007,sebac@wlink.com.np,,9851087644.0,Rebant Nath,
Achham,Seti,Hill,Far-Western,पँहुच र सृजनाका लागि सहकार्य नेपाल,"Working for Access and Creation, Nepal (WAC-Nepal)",WAC,Mastamandu-1,097 625032,097 625032,wacnepal@ntc.net.np,wacnepal.org.np ,9759001149.0,Min Bahadur Kunawr,
Achham,Seti,Hill,Far-Western,रामारोशन विकास समाज,Ramaroshan Development Society,Roshan,Safebagar,097-620063,097-620063,roshan_vs@gmail.com ,,9749010473.0,Govinda Bahadur Shah,
Achham,Seti,Hill,Far-Western,नारी चेतना केन्द्र,Women Awareness Centre,,Mangalsen-8,,,,,,,
Achham,Seti,Hill,Far-Western,ग्रामीण विकास केन्द्र (रुडेक),Rural Development Centre,RUDEC,Mangalsen,097 620218,097 620218,rudecachham@gmail.com,,9759001177.0,Chank Bahadur Saud,
Achham,Seti,Hill,Far-Western,सामुदायिक विकास केन्द्र नेपाल,Community Development Centre Nepal,,Safebagar,019-660511,,,,,,
Achham,Seti,Hill,Far-Western,समाज विकास तथा सचेतन केन्द्र (सोडाक),Social Development and Awareness Centre,SODAC,Mangalsen-5,629112,,,,,,
Achham,Seti,Hill,Far-Western,श्रीः पशु सेवा समिति,Shree Animal Service Committee,,Mastamandu-1,,,,,,,
Achham,Seti,Hill,Far-Western,वातावरण संरक्षण मञ्च नेपाल,Environment Protection Forum,,Mastamandu,019-660504,,,,,,
Achham,Seti,Hill,Far-Western,सशक्त महिता विपन्नता विरुद्धको कार्ययात्रामा सहभागीता नेपाल,Empowered Women Participated in Against Distressed Work,SAMABIKAS,Mastamandu-1,097-625045,097-625045,samabikas@gmail.com,,9858421973.0,Pashupati Kunwar,
Achham,Seti,Hill,Far-Western,पँहुच र सृजनाका लागि सहकार्य नेपाल,Srijana Art Centre,,Safebagar,,,,,,,
Achham,Seti,Hill,Far-Western,नेपाल उत्पीडित उत्थान समाज,Nepal Oppressed Upliftment Society,NUDS,Safebagar,097 625034,097 625034,,,9848565948.0,Ganesh Tiruwa,Provety
Achham,Seti,Hill,Far-Western,ग्रामीण सुचना तथा संचार विकास केन्द्र (रिमडेक),Rual Information and Communication Development  Centre,,Mangalsain-5,,,,,,,
Achham,Seti,Hill,Far-Western,दलित एकता मंच अछाम (दुना),Dalit Unity Forum,DUNA,Mangalsain-5,,,,,,,
Achham,Seti,Hill,Far-Western,मालिका विकास संघ,Malika Development Organization,MDO,Mangalsain-5,097-629124,097-620225,himbvk@gmail.com,www.malika.org.np,9759000972.0,Krishna Rawal,
Achham,Seti,Hill,Far-Western,सशक्तिकरणका क्षेत्रमा यूवाहरु (एस) नेपाल,Youth in Empower Area,"YES, Nepal",Safebagar,081-524415,097 625011,yesnepaldgd@wlink.com.np,www.yesnepal.org,9848445611.0,Jaya Bahadur Mahara,
Achham,Seti,Hill,Far-Western,गंगोत्री ग्रामीण विकास मंच,Gangotri Rural Development Forum,GaRDeF,Bayalpata Achham,097 625068,097 625068,gardef.achham@gmail.com ,,9749000971.0,Takkar Kadayat,HiV/AIDS and other
Achham,Seti,Hill,Far-Western,दिव्यज्योती समाज उत्थान केन्द्र,Divya Joyti Progressive Centre,,Mastamandu-1,097 625068,097 625068,,,,,
Achham,Seti,Hill,Far-Western,आत्मनिर्भर विकास समाज,Self Relient Development Society,,Mangalsen-6,097-629135,,,,,,
Achham,Seti,Hill,Far-Western,गतिशिल वहुउद्देशिय समाज,Mobility Multipurposed Society,DYMPS,Mangalsen,97620304,,dympsachham@gmail.com,,,Khadak Bahadur Khadka,Human right and education
Achham,Seti,Hill,Far-Western,मानव विकास समाज नेपाल ,Human Development Society Nepal,,Ghughurkot-2,019-660512,,,,,,
Achham,Seti,Hill,Far-Western,सहभागितामूलक दिगो विकास केन्द्र ,Participatory Sustainable Development Centre,PRSDC,Mangalsen-5,097-620032,097-620303,prsdc.nepal@yahoo.com,,9749010063.0,kallan sing bogati,
Achham,Seti,Hill,Far-Western,समाज उत्थान सहयोग केन्द्र ,Social Upliftment Helping Centre,,Shantada-3 Mujabazar,097-690104,,,,,,
Achham,Seti,Hill,Far-Western,सामाजिक तथा मानव विकास मञ्च ,Social and Human Development Forum,HSDF,"Chandika-3, Balyalpata",091693940 and 9849027567,,,,,Rajenadra Kunwor,
Achham,Seti,Hill,Far-Western,सूर्योदयो समाज विकास संघ ,Sunrice Social Development Association,SSDA,"Barala-3, Tikhapatal",097-490039 and 097-620065,,,,,,
Achham,Seti,Hill,Far-Western,बालबालिका तथा महिला शिक्षा सहकार्य नेपाल (पिसवीन नेपाल),Children and Women Education Co- Working Nepal,PEACEWIN,Mangalsen-5,097-520313,097-620313,peacewinachham@yahoo.com,peacewin.org.com,9759001182.0,Lal Bahadur oli,Education
Achham,Seti,Hill,Far-Western,जनाली बण्डाली समाज कल्याण संघ ,Janali Bandali Social Welfare Organization,,"Mangalsen-5,Bairagidhara",097-620061 and 9848435533,,,,,,
Achham,Seti,Hill,Far-Western,दलित विकास सेवा समाज ,Dalit Development Service Society,DDSS,"Chandika-3, Balyalpata",091-694134,,,,,,
Achham,Seti,Hill,Far-Western,सामुदायिक स्वास्थ्य संरक्षण केन्द्र ,Community Helath Protection Centre,,Mangalsen-6,097-620181,,,,,,
Achham,Seti,Hill,Far-Western,ग्रामीण साझेदारी विकास केन्द्र ,Rural Partnership Development Centre,,Hichama-5,097-690218,,,,,,
Achham,Seti,Hill,Far-Western,सामुदायिक सशक्तिकरण केन्द्र ,Community Empowerment Centre,,"Mastamandu-1, Safebagar",097-690423,,,,,,
Achham,Seti,Hill,Far-Western,सर्वाङ्गिण महिला विकास कार्ययात्रामा सहभागी (पि–कार्ड),Srawangin Mahila Bikas Karyayatrama Sahabhagi,,"Siddhiswor-1, Safebagar",097-690017,,,,,,
Achham,Seti,Hill,Far-Western,गरिमा समाज नेपाल ,Garima Social Nepal,,"Mastamandu-2, Safebagar",,,,,,,
Achham,Seti,Hill,Far-Western,शान्तिका लागि युवा सञ्जाल ,Youth Network for Peace,,"Mastamandu-1, Safebagar",091-691153,,,,,,
Achham,Seti,Hill,Far-Western,सामाजिक स्वयं सेवक मञ्च (शोभा),Social Volunteer Forurm,SOVA,Mangalsen-1,9749005947,,,,,,
Achham,Seti,Hill,Far-Western,देवीथुम विकास समाज ,Devithum Development Society,DDSA,Devisthan-5,091-692646,,,,,,
Achham,Seti,Hill,Far-Western,कालिका सामुदायिक विकास समाज ,Kalika Community Development Society,KCDS,"Devisthan-5, Deuralikhad",,,,,,,
Achham,Seti,Hill,Far-Western,जनजागरण शैक्षिक विकास अध्ययन केन्द्र  ,Public Awareness Education Development Learning Center ,PAEDLC,Larg9,097-690282,,,,,,
Achham,Seti,Hill,Far-Western,जन सेवा युवा समाज ,Jana Sewa Yuwa Samaj,Jana Sewa,Wasti-5,097-620296,097-620296,janasewanepal@yahoo.com,,9848472625.0,Lokman Dhami,
Achham,Seti,Hill,Far-Western,सुदूर सञ्चार समाज नेपाल ,Farweast Media Society Nepal,FMS,Mangalsen-6,097-620228,097-620228,binodthapa9@gmail.com,www.radioramaroshan.org.np,9848435400.0,Binod Kumar Thapa,Media and development 
Achham,Seti,Hill,Far-Western,सशक्त महिता विपन्नता विरुद्धको कार्ययात्रामा सहभागीता नेपाल,Empowered Women Participated in Against Distressed Work,,Mastamandu,,,,,,,
Achham,Seti,Hill,Far-Western,सृजना कला केन्द्र,Srijana Art Centre,,Safebagar,019-660504,,,,,,
Achham,Seti,Hill,Far-Western,उत्पीडित उत्थान तथा चेतना विकास मञ्च,Oppressed Upliftment and Awareness Development Forum,,Mangalsen-5,629112,,,,,,
Achham,Seti,Hill,Far-Western,अछाम उत्पीडित जनजाती तथा महिला सचेतन केन्द्र,Achham Oppressed Janajati and Women Conscious Centre,,Astamandu-1,019-660511,,,,,,
Achham,Seti,Hill,Far-Western,श्री लक्ष्मी युवा क्लब ,Shree Laxmi Youth Club,,"Timalsain-3,Katarate",9848447238,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सामाजिक चेतना तथा विकास संघ,Social Awareness and Development Association,,Patan -9,095-520246,,kthagunna@yahoo.com,,,,
Baitadi,Mahakali,Hill,Far-Western,त्रिपुरेश्वर शान्ति समाज,Tripuresowr Shanti Samaj,,Basantapur-5,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,केदार ग्रामिण दिगो विकास संघ,Kedar Rural Sustainabale Developmetn Organization,,Nwali-3,520156,,,,,,
Baitadi,Mahakali,Hill,Far-Western,कोट भैरब सामुदायिक विकाष केन्द्र,Kot Bhairab Community Development Centre,,Chaukham-4,095-520429,,,,,,
Baitadi,Mahakali,Hill,Far-Western,शहीद दशरथ चन्द स्मृति प्रतिष्ठान,Sahid Dasaratha Chandra Smriti Pratisthan,,Baitadi-5,520223,,mdca@ntc.net.np,,,,
Baitadi,Mahakali,Hill,Far-Western,जन जागरण सेवा केन्द्र,Public Awareness Service Centre,,Baitadi-3,095-520114,,,,,,
Baitadi,Mahakali,Hill,Far-Western,जागृति युवा केन्द्र,Jagriti Youth Club,,Dasarathachadra-1,520024,,,,,,
Baitadi,Mahakali,Hill,Far-Western,अनिरुद्र युवा क्लब,Anirudra Youth Club,,Shankarpur-5,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,निङ्गलाशैनी युवा क्लब,Ningalashaini Youth Club,,Dehimandu-6,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,बसन्तपुर सांस्कृतिक समाज,Basantpur Cultural Society,,Basantapur-6,095-529384,,,,,,
Baitadi,Mahakali,Hill,Far-Western,अवोलिग ग्रामिण महिला मञ्च,Awolig Rural Women Forum,,Dasarathachadra-7,095-520453,,,,,,
Baitadi,Mahakali,Hill,Far-Western,आदर्श ग्रामिण विकास संघ,Aadarsa Rural Development Organization,,Salena,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,शिवकेदार ग्रामिण विकास संघ,Shivakedar Rural Development Organization,,Sahilek-1,,,samaratcom.sureshlb@hotmail.org,,,,
Baitadi,Mahakali,Hill,Far-Western,नागार्जुन जन सेवा संस्था,Nagarjun Public Service Organization,,Girgada-9,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,मित्र संघ,Mitra Organization,,"Dasharathchand, Municipality-1",095-520046,,rbhatta977@gmail.com,,,,"Income Generation, Physical Development, Agriculture, Health and Sanitation, and, Communication"
Baitadi,Mahakali,Hill,Far-Western,थागिल सामाजिक विकास संघ,Thagil Social Development Organization,,Gothalapani-1,095-520179,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सहयोगी संस्था,Helping Oragnization,,Gothalapani-1,095-520193,,,,,,
Baitadi,Mahakali,Hill,Far-Western,भुमेश्वर सामुदायिक विकास संघ,Bhumeswor Community Development Organization,,Shidhesowr-9,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,जय ग्वालेक केदार युवा क्लब,Jaya Gwaleka Kedar Youth Club,,Dasarathachandra-3,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,एकता सामुदायिक विकास केन्द्र,Unity Community Development Centre,,Patan-9,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,दिगो उधम तथा महिला जागरण समाज,Sustainable Enterprise and Women Awareness Society,,"Dasharathchand, Municipality-1",095-520108,,sewabaitadi@ntc.net.np,,,,"Income Generation, and Physical Development"
Baitadi,Mahakali,Hill,Far-Western,ग्वालेक जन जागरण केन्द्र,Gwalek Public Awareness Centre,,Durgasthan-3,520233,,,,,,
Baitadi,Mahakali,Hill,Far-Western,हंसराज सामुदायिक विकास केन्द्र,Hansaraj Community Development Centre,,Silaga,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,बाशुलिङ्ग जन जागृति समाज,Basuling Jana Jagriti Samaj,,Bhauneli-2,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,नागार्जुन ग्रामीण स्वास्थ्य एवं शिक्षा केन्द्र,Nagarjun Rural Health and Education Centre,,Dasarathachandra-9,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,समाज सुधार संघ,Social Inprovement Organization,,Dasarathachandra-6,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,कैलपाल सामुदायिक ग्रामिण विकास संघ,Kailpal Community Rural Development Organization,,Patan-7,520126,,,,,,
Baitadi,Mahakali,Hill,Far-Western,शान्ति र विकासको लागि हातेमालो कार्यक्रम,Handstogether Program for Peace and Development,,Dasarathachandra -1,095-520225,,,,,,
Baitadi,Mahakali,Hill,Far-Western,पाताल भुमेश्वर युवा क्लब,Patal Bhumeswor Youth Club,,Bhumeswor-2,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,प्रगतिशिल सामाजिक संस्था,Progressive Social Organization,,Hatairaj-4,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,त्रिपुरा सुन्दरी ग्रामिण विकास केन्द्र,Tripura Sundari Rural Development Centre,,Dasarathachandra-9,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,भूमिराज सामाजिक विकास युवा क्लव,Bhumiraj Social Development youth Club,,Sakar-4,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,त्रिशक्ति युवा क्लव,Trishakti Youth Club,,Shankarpur,095-529332,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सामुदायिक ग्रामिण विकास सेवा समाज,Community Rural Development Service Society,,Patan-2,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,माहाशक्ति युवा मञ्च,Mahashakti Youth Club,,Bhumeswor,095-520189,,,,,,
Baitadi,Mahakali,Hill,Far-Western,लोकशक्ति उदय सेवा केन्द्र,Lokshakti Uday Sewa Kendra,,Nagatadi-12,520046,,,,,,
Baitadi,Mahakali,Hill,Far-Western,डौडेश्वर युवा क्लव,Daudeswor Youth Club,,Bhuneli-7,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,आवाज दे समाज सेवा युवा क्लव,Aawaj de Social Service Youth Club,,Melauli-6,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,श्रृजनशिल दिव्यज्योति जागृति समाज,Srijanashil Dibyajyoti Jagrit Samaj,,Dasarathachandra-4,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,मानवतावाद विकास केन्दै,Development Centre For Hummanitarian ,,Dasarathachandra-2,095-520465,,,,,,
Baitadi,Mahakali,Hill,Far-Western,ग्वाल्लेक यवा क्लव,Gwalek Youth Club,,Gwalek-2,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,ग्रामिण विकास सेवा केन्द्र,Rural Development Service Centre,,"Bhimdatta Municipality-1, Shahilake",095-520114,,,,,,
Baitadi,Mahakali,Hill,Far-Western,पर्वत फेदी श्रुजना यूवा क्लव,Prabat Phedi Srijana Yuwa Club,,Sahilek-1,520213,,,,,,
Baitadi,Mahakali,Hill,Far-Western,दलित समाज विकास मञ्च,Dalit Social Development Forum,,Dasarathachandra-1,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,शैक्षिक जागरण केन्द्र,Educational Awareness Centre,,Gothalapani-1,20244,,,,,,
Baitadi,Mahakali,Hill,Far-Western,मानव अधिकार तथा समाज,Human Rights and Society,,Khalanga-1,20205,,,,,,
Baitadi,Mahakali,Hill,Far-Western,ग्रामीण  समाज परोपकार सेवा सदन ,Gramin Samaj Paropakar Sewa Sadan,,Malladehi-9,,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सातधारा सिर्जनशील सामुदायिक विकास संघ ,Satdhara Innovative Community Development Association,,"Dasharathchand, Municipality-4",095-520340,,,,,,
Baitadi,Mahakali,Hill,Far-Western,दटमेटा प्रगतिशील समाज ,Datameta Progressive Society,,"Mahadevsthan-08, Baitadi",,,,,,,
Baitadi,Mahakali,Hill,Far-Western,सामाजिक आर्थिक तथा वातावरणीय विकास सेवा केन्द्र ,Social Economic and Environmental Development Service Centre,,Sihas-01,,,,,,,
