District,Name of NGO in Nepali,Name of NGO in English,Acronym,Address,Telephone,Fax,Email,Website,Office Mobile,Contact Person,Working Sector
Arghakhanchi,मिलन यूवा क्लव,Milan Youth Club,,Sandhikharka-9,,,,,,,
Arghakhanchi,जागृती समाज निर्माण मञ्च,Jagrit Samaj Nirman Manch,,Pali-2,,,,,,,
Arghakhanchi,गुरॉसधारा यूवा क्लब,Guransdhara Youth Club,,Patauti-2,,,,,,,
Arghakhanchi,बहुउद्देश्यीय ग्रामिण विकास तथा सामाजीक सुधार संस्था,Multipurpose Rural Development and Social Improvement Organization,,Gordhunga-7,,,,,,,
Arghakhanchi,पर्यावरण सचेतन समुह,Environment Awarness Group,,Sandhikharka-6,,,,,,,
Arghakhanchi,उत्पीडीत तथा जनजाती विकास,Oppressed and Indegenious Development,,Sandhikharka-6,,,,,,,
Arghakhanchi,समाज कल्याण एवं सचेतन मञ्च,Social Welfare and Conscious Forum,,Argha-7,,,,,,,
Arghakhanchi,नव प्रतिभा यूवा क्लब,Nawa Prativa Youth Club,,Khanadaha-7,,,,,,,
Arghakhanchi,सामाजीक सेवा तथा विकास केन्द्र,Social Service and Development Centre,,Sandhikharka-6,,,,,,,
Arghakhanchi,पर्यावरण संरक्षण तथा सामुदायीक स्वास्थ्य विकास केन्द्रं,Environment Protection and Community Health Development Centre,,Sandhikharka-6,,,,,,,
Arghakhanchi,सुदर्शन युथ क्लब,Sudarshan Youth Club,,Nuwakot-6,,,,,,,
Arghakhanchi,ग्रामीण महिला उत्थान समाज,Rural Women Upliftment Society,,Nuwakot-6,,,,,,,
Arghakhanchi,नरपानी यूथ क्लव,Narapani  Youth Club,,Narapani-5,,,,,,,
Arghakhanchi,निर्मल अपाङ्ग पुनसर््थापना केन्द्र,Niramal Disabled Rehabilitation Centre,,Sandhikharka-6,,,,,,,
Arghakhanchi,निर्मल कला मन्दिर,Nirmal Kala Mandir,,Sandhikharka-6,,,,,,,
Arghakhanchi,समुदायी विकास केन्द्र,Community Development Centre,,Thulopokhara-7,,,,,,,
Arghakhanchi,ग्रामीण विकास केन्द्र,Rural Development Centre,,Sandhikharka-6,,,,,,,
Arghakhanchi,समाजसेवी बौद्धिक सर्कल,Social Worker Intellectual Circle,,Thulopokhara-6,,,,,,,
Arghakhanchi,हरियाली क्लब,Hariyali Club,,Sitapur-5,,,,,,,
Arghakhanchi,जनज्योती ग्रामीण विकास संघ,Jana Jyoti Rural Development Association,,Thada-3,,,,,,,
Arghakhanchi,अपाङ्ग हकहित संघ,Association Of Disabled Ligal Rights,,Thulopokhara-6,,,,,,,
Arghakhanchi,जनचेतना सरोकार मञ्च,Forum For People's Awareness ,,Pokhrathok,,,,,,,
Arghakhanchi,प्रकाश सचेतन समूह (प्राग),Prakash Conscious Group,,NA,,,,,,,
Arghakhanchi,नेपाल दलित उत्थान संघ,Nepal Dalit Upliftment Association,,NA,,,,,,,
Arghakhanchi,टिका ग्रामीण विकास मञ्च,Tika Rural Development Forum,,NA,,,,,,,
Arghakhanchi,सौरभ साहित्य कला र सांस्कृतिक प्रतिष्ठान,Saurav Literature and Cultural Academy,,NA,,,,,,,
Arghakhanchi,अर्घाखाँची स्पाईस एण्ड सोसियल वेलफेर सोसाइटी,Arghakhanchi Spice and Social Welfare Society,,NA,,,,,,,
Arghakhanchi,गरिबी निवारण समाज विकास तथा वातावरण संरक्षण केन्द्र,Povery Allivation Social Development and Environment Protection Centre,,NA,,,,,,,
Arghakhanchi,महिला तथा बालविकास परिषद,Women and Children Council,,NA,,,,,,,
Arghakhanchi,सुर्योदय युवा क्लब,Suryodaya Youth Club,,NA,,,,,,,
Arghakhanchi,दिगो सामुदायिक विकास केन्द्र,Sustainable Community Development Centre,,NA,,,,,,,
Arghakhanchi,ग्रामीण तथा सामुदायिक स्वास्थ्य विकास केन्द्र,Rural and Community Health Development Centre,,NA,,,,,,,
Arghakhanchi,ग्रामीण विकास तथा सुधार मञ्च नेपाल,Rural Development and Improvement Forum,,NA,,,,,,,
Arghakhanchi,सिर्जनशील सामुदायिक सेवा तथा विकास केन्द्र,Innovative Community Service and Development Centre,,NA,,,,,,,
Arghakhanchi,दलित चेतना विकास परिषद,Dalit Awareness Development Council,,NA,,,,,,,
Arghakhanchi,गोल्डेन युथ क्लब,Golden Youth Club,,NA,,,,,,,
Arghakhanchi,लुम्विनी ग्रामीण विकास समिति,Lumbini Rural Development Committee,,NA,,,,,,,
Arghakhanchi,पर्यावरण संरक्षण तथा सामुदायिक स्वास्थ विकास केन्द्र,Environment Protection and Community Health Development Centre,,NA,,,,,,,
Arghakhanchi,आलोक पुस्तकालय,Aalok Library,,NA,,,,,,,
Arghakhanchi,सामुदायिक कल्याण केन्द्र,Community Welfare Centre,,NA,,,,,,,
Baglung,सामुदायीक स्रोत विकास केन्द्र ,Community Resource Development Centre,,"Baglung 2, Mahendra Path",,,,,,,
Baglung,ग्रामीण जागरण मञ्च,Rural Awareness Forum,,"Baglung 2, Mahendra Path",068-520972,,,,,,
Baglung,ढोर पाटन सामुदायीक विकास केन्द्र ,Dhorpatan Community Developmen Centre,,"Bohara Gaun-9, Jhimpa",,,,,,Tara pd. Sharma,
Baglung,भिमापोखरा युवा क्लव,Bhimapokhara Youth Club,BYC Baglung,Baglung-1,068-520102,,bycbgl@ntc.net.np,,,Amar Thapa,"Drinking Water and Sanitation, Forest and Environment, Capacity Building and Empowerment etc"
Baglung,श्री सर्वे सेवी युवा क्लव ,Shree Sarwe Sewi Yuwa Club,,,,,,,,,
Baglung,जन जागरण युवा क्लव ,Jana Jagaran Yuwa Club,,Kadebas-6,,,,,,,
Baglung,महिलाहित समाज ,Women Welfare Society,,Mahendra Path-2,,,,,,,
Baglung,सामुदायिक विकास परिषद ,Community Development Council,,Kalika,,,,,,,
Baglung,अनुसन्धान तथा विकास समाज ,Research and Development Society,,Kalika-2,,,,,,,
Baglung,रेश युवा क्लव संघ ,Resh Yuwa Club Association,,Resh-,,,,,,,
Baglung,कालिका युवा क्लव,Kalika Youth Club,,Mahendra Path-2,068-520292,,,,,,
Baglung,वेलफेयर युथ क्लव ,Welfare Youth Club,,,,,,,,,
Baglung,धौलागिरी ग्रामिण विकास मञ्च ,Dhaulagiri Rural Development Froum,,Balewa Phyupata-2,,,,,,,
Baglung,जनचेतना तथा विकास केन्द्र ,People Awareness and Development Centre,,Mulpani,,,,,,,
Baglung,समाज कल्याण मञ्च,Social Welfare Forum,,,068-520394,,fswbgl@yahoo.com,,,,
Baglung,तेजरत्न स्मृति पुरस्कार संस्थान ,Association  of Tej Ratna Memorial Prize ,,Baglung Bajar,,,,,,,
Baglung,तालवराह युवा क्लव ,Talbaraha Youth Club,,Bhakunde-7,,,,,,,
Baglung,श्री त्रिशुली युवा क्लव ,Shree Trisul Youth Club,,Hil-6,,,,,,,
Baglung,हनुमान नाच संरक्षण परिषद,Hanuman Dance Protection Council,,Baglung -4,520186,,,,,,
Baglung,चारतारे युवा क्लव,Chartare Youth Club,CYC Baglung,Baglung-3 ,068-520146,,cycbgl@ntc.net.np,,,Chandi Prasad Paudel,Micro-hydro Power Program
